group,names,scores,logfoldchanges,pvals,pvals_adj
0,ENSG00000247934,0.5429893,,0.5871371744730783,0.999949508446688
0,ENSG00000255882,0.53153527,,0.5950478924059516,0.999949508446688
0,NAV1,0.52762765,,0.5977578040639411,0.999949508446688
0,NRBP2,0.5233245,,0.6007484679080202,0.999949508446688
0,DNAJA4,0.5231663,,0.600858547528883,0.999949508446688
0,LRCH1,0.5217899,,0.6018166244674541,0.999949508446688
0,SPP1,0.5183094,,0.6042424157697097,0.999949508446688
0,LINC00921,0.51554084,,0.6061751513076228,0.999949508446688
0,ETS1,0.5152086,,0.6064072652984183,0.999949508446688
0,ENSG00000271938,0.50256807,,0.6152679918986719,0.999949508446688
0,PLEKHA2,0.49848637,,0.6181412647240558,0.999949508446688
0,SPACDR,0.47439185,,0.635220506639983,0.999949508446688
0,COBLL1,0.47212952,,0.6368343411796311,0.999949508446688
0,ADAM23,0.46433005,,0.6424113024452989,0.999949508446688
0,C16orf74,0.46217847,-1.7845724,0.6439533465923247,0.999949508446688
0,KLF4,0.45581865,,0.6485203959609647,0.999949508446688
0,AGBL3,0.4479717,,0.6541736181560124,0.999949508446688
0,SPIN2A,0.44335213,,0.657511052123189,0.999949508446688
0,FRMD4A,0.44298828,,0.6577742236465245,0.999949508446688
0,PRCD,0.44191247,,0.6585525439983557,0.999949508446688
0,LINC01277,0.4386693,,0.6609011877131521,0.999949508446688
0,NPTX2,0.43816304,,0.66126810748991,0.999949508446688
0,RASAL2,0.4377517,,0.661566289749031,0.999949508446688
0,CELF6,0.43536282,,0.6632991007543444,0.999949508446688
0,ENSG00000269886,0.43493566,,0.663609131394802,0.999949508446688
0,MIR3142HG,0.4341921,,0.6641489517464365,0.999949508446688
0,CLEC2D,0.42713618,,0.6692801431998652,0.999949508446688
0,PLEKHG2,0.42601293,,0.670098426500721,0.999949508446688
0,FAM88B,0.4240512,,0.6715284798205507,0.999949508446688
0,ENSG00000269514,0.42284885,,0.6724055526510441,0.999949508446688
0,SAMD4A,0.4215832,,0.6733292690496566,0.999949508446688
0,TSPAN5-DT,0.42123514,,0.6735833775398065,0.999949508446688
0,PLAU,0.4156189,,0.6776888980743636,0.999949508446688
0,BRPF3-AS1,0.41150558,,0.6807018509096954,0.999949508446688
0,FUT8-AS1,0.40970206,,0.6820245269813351,0.999949508446688
0,TMT1B,0.40791434,,0.6833365655145369,0.999949508446688
0,PCLO,0.3967609,,0.6915437677919012,0.999949508446688
0,RASGEF1B,0.39092317,,0.6958540185569867,0.999949508446688
0,AZU1,0.3866042,,0.6990492481762587,0.999949508446688
0,PJVK,0.38067153,,0.7034469944124456,0.999949508446688
0,TNFRSF13C,0.3757672,,0.7070899776493293,0.999949508446688
0,UMODL1,0.3757039,,0.7071370279594901,0.999949508446688
0,AEBP1,0.37548244,,0.7073017128533147,0.999949508446688
0,CCL5,0.37442246,,0.7080900372000714,0.999949508446688
0,CRIP2,0.37239745,,0.7095969590247038,0.999949508446688
0,BIRC2,0.37018257,,0.7112464562547608,0.999949508446688
0,RETREG1,0.36994526,,0.7114232684712062,0.999949508446688
0,GPR82,0.36559466,,0.7146675680005311,0.999949508446688
0,CXCL1,0.36480364,,0.7152579970517594,0.999949508446688
0,IRX3,0.3614655,,0.7177514807141704,0.999949508446688
0,OOEP,0.3614655,,0.7177514807141704,0.999949508446688
0,SLC17A5,0.35917154,,0.7194667588593426,0.999949508446688
0,B3GNT9,0.35776353,,0.7205202854887116,0.999949508446688
0,ENSG00000260360,0.35746294,,0.7207452644884713,0.999949508446688
0,ZDHHC23,0.3570358,,0.72106501307041,0.999949508446688
0,CAMK2D,0.35358694,,0.7236484688958262,0.999949508446688
0,BCL2L10,0.3449015,,0.7301684165059008,0.999949508446688
0,SLC25A27,0.34407884,,0.730786991634454,0.999949508446688
0,DUSP2,0.34221202,,0.7321913303429233,0.999949508446688
0,LRP1-AS,0.34108877,,0.7330367465264083,0.999949508446688
0,SGSH,0.33760828,,0.7356583989321503,0.999949508446688
0,KLRF1,0.33434927,,0.738116013835953,0.999949508446688
0,HEXA-AS1,0.3318338,,0.740014744137194,0.999949508446688
0,OTULIN-DT,0.32435074,,0.7456725007416611,0.999949508446688
0,CERNA1,0.32386032,,0.7460437882425534,0.999949508446688
0,ENSG00000277602,0.32219917,,0.7473018126515438,0.999949508446688
0,FCHSD1,0.31416237,,0.7533977098031961,0.999949508446688
